Username,Password,Is_Connected
fadi,bc49e4eea9b7326262b74601cc3bfd24de3d30e83b9ec33f7015c1b735151af0,False
1,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,False
assad,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,False
fadinuj,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,False
nadav,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4,False
dori,f3cf3f52140e146702cb77f015f2530adc7f5056c7b59c3be8568df9181d67bb,False
ddddd,ea0342a4153a8d8c4bc553f96647083850fc95d528fc402111da49886ce90578,False
baruh,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4,False
david,07d046d5fac12b3f82daf5035b9aae86db5adc8275ebfbf05ec83005a4a8ba3e,False
nadav1,a0c9601bc2146c993c3b3936311d764e0458e6ab662586e96585c0e4a2d7a1b2,False
nikol,d6b4ff43f08cb8126bc03a14e4758164c3f0d0f8208428f89f37a67799e75084,False
