2025-01-13 01:36:51 - NOTIFICATION SENT TO LIBRARIAN: fadi | Notify Librarian:Albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: einstain@uta.ac.us Or by Phone: 111111veeinshamafehad
2025-01-13 01:36:51 - NOTIFICATION SENT TO LIBRARIAN: 1 | Notify Librarian:Albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: einstain@uta.ac.us Or by Phone: 111111veeinshamafehad
2025-01-13 01:36:51 - NOTIFICATION SENT TO LIBRARIAN: assad | Notify Librarian:Albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: einstain@uta.ac.us Or by Phone: 111111veeinshamafehad
2025-01-13 01:36:51 - NOTIFICATION SENT TO LIBRARIAN: fadinuj | Notify Librarian:Albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: einstain@uta.ac.us Or by Phone: 111111veeinshamafehad
2025-01-13 01:36:51 - NOTIFICATION SENT TO LIBRARIAN: nadav | Notify Librarian:Albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: einstain@uta.ac.us Or by Phone: 111111veeinshamafehad
2025-01-13 01:36:51 - NOTIFICATION SENT TO LIBRARIAN: dori | Notify Librarian:Albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: einstain@uta.ac.us Or by Phone: 111111veeinshamafehad
2025-01-13 01:36:51 - NOTIFICATION SENT TO LIBRARIAN: ddddd | Notify Librarian:Albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: einstain@uta.ac.us Or by Phone: 111111veeinshamafehad
2025-01-13 01:36:51 - NOTIFICATION SENT TO LIBRARIAN: baruh | Notify Librarian:Albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: einstain@uta.ac.us Or by Phone: 111111veeinshamafehad
2025-01-13 10:19:31 - NOTIFICATION SENT TO LIBRARIAN: fadi | Notify Librarian:12 | The book: The Catcher in the Rye is available now. | You can notify him by Email: 12 Or by Phone: 12
2025-01-13 10:19:31 - NOTIFICATION SENT TO LIBRARIAN: 1 | Notify Librarian:12 | The book: The Catcher in the Rye is available now. | You can notify him by Email: 12 Or by Phone: 12
2025-01-13 10:19:31 - NOTIFICATION SENT TO LIBRARIAN: assad | Notify Librarian:12 | The book: The Catcher in the Rye is available now. | You can notify him by Email: 12 Or by Phone: 12
2025-01-13 10:19:31 - NOTIFICATION SENT TO LIBRARIAN: fadinuj | Notify Librarian:12 | The book: The Catcher in the Rye is available now. | You can notify him by Email: 12 Or by Phone: 12
2025-01-13 10:19:31 - NOTIFICATION SENT TO LIBRARIAN: nadav | Notify Librarian:12 | The book: The Catcher in the Rye is available now. | You can notify him by Email: 12 Or by Phone: 12
2025-01-13 10:19:31 - NOTIFICATION SENT TO LIBRARIAN: dori | Notify Librarian:12 | The book: The Catcher in the Rye is available now. | You can notify him by Email: 12 Or by Phone: 12
2025-01-13 10:19:31 - NOTIFICATION SENT TO LIBRARIAN: ddddd | Notify Librarian:12 | The book: The Catcher in the Rye is available now. | You can notify him by Email: 12 Or by Phone: 12
2025-01-13 10:19:31 - NOTIFICATION SENT TO LIBRARIAN: baruh | Notify Librarian:12 | The book: The Catcher in the Rye is available now. | You can notify him by Email: 12 Or by Phone: 12
2025-01-13 10:19:38 - NOTIFICATION SENT TO LIBRARIAN: fadi | Notify Librarian: | The book: The Catcher in the Rye is available now. | You can notify him by Email:  Or by Phone:
2025-01-13 10:19:38 - NOTIFICATION SENT TO LIBRARIAN: 1 | Notify Librarian: | The book: The Catcher in the Rye is available now. | You can notify him by Email:  Or by Phone:
2025-01-13 10:19:38 - NOTIFICATION SENT TO LIBRARIAN: assad | Notify Librarian: | The book: The Catcher in the Rye is available now. | You can notify him by Email:  Or by Phone:
2025-01-13 10:19:38 - NOTIFICATION SENT TO LIBRARIAN: fadinuj | Notify Librarian: | The book: The Catcher in the Rye is available now. | You can notify him by Email:  Or by Phone:
2025-01-13 10:19:38 - NOTIFICATION SENT TO LIBRARIAN: nadav | Notify Librarian: | The book: The Catcher in the Rye is available now. | You can notify him by Email:  Or by Phone:
2025-01-13 10:19:38 - NOTIFICATION SENT TO LIBRARIAN: dori | Notify Librarian: | The book: The Catcher in the Rye is available now. | You can notify him by Email:  Or by Phone:
2025-01-13 10:19:38 - NOTIFICATION SENT TO LIBRARIAN: ddddd | Notify Librarian: | The book: The Catcher in the Rye is available now. | You can notify him by Email:  Or by Phone:
2025-01-13 10:19:38 - NOTIFICATION SENT TO LIBRARIAN: baruh | Notify Librarian: | The book: The Catcher in the Rye is available now. | You can notify him by Email:  Or by Phone:
2025-01-13 10:21:54 - NOTIFICATION SENT TO LIBRARIAN: fadi | Notify Librarian:Rodrigo | The book: The Catcher in the Rye is available now. | You can notify him by Email: rodl@gmail.com Or by Phone: 0542399912
2025-01-13 10:21:54 - NOTIFICATION SENT TO LIBRARIAN: 1 | Notify Librarian:Rodrigo | The book: The Catcher in the Rye is available now. | You can notify him by Email: rodl@gmail.com Or by Phone: 0542399912
2025-01-13 10:21:54 - NOTIFICATION SENT TO LIBRARIAN: assad | Notify Librarian:Rodrigo | The book: The Catcher in the Rye is available now. | You can notify him by Email: rodl@gmail.com Or by Phone: 0542399912
2025-01-13 10:21:54 - NOTIFICATION SENT TO LIBRARIAN: fadinuj | Notify Librarian:Rodrigo | The book: The Catcher in the Rye is available now. | You can notify him by Email: rodl@gmail.com Or by Phone: 0542399912
2025-01-13 10:21:54 - NOTIFICATION SENT TO LIBRARIAN: nadav | Notify Librarian:Rodrigo | The book: The Catcher in the Rye is available now. | You can notify him by Email: rodl@gmail.com Or by Phone: 0542399912
2025-01-13 10:21:54 - NOTIFICATION SENT TO LIBRARIAN: dori | Notify Librarian:Rodrigo | The book: The Catcher in the Rye is available now. | You can notify him by Email: rodl@gmail.com Or by Phone: 0542399912
2025-01-13 10:21:54 - NOTIFICATION SENT TO LIBRARIAN: ddddd | Notify Librarian:Rodrigo | The book: The Catcher in the Rye is available now. | You can notify him by Email: rodl@gmail.com Or by Phone: 0542399912
2025-01-13 10:21:54 - NOTIFICATION SENT TO LIBRARIAN: baruh | Notify Librarian:Rodrigo | The book: The Catcher in the Rye is available now. | You can notify him by Email: rodl@gmail.com Or by Phone: 0542399912
2025-01-13 10:25:50 - NOTIFICATION SENT TO LIBRARIAN: fadi | Notify Librarian:Mor | The book: The Catcher in the Rye is available now. | You can notify him by Email: doron@gmail.,com Or by Phone: gimalsadad
2025-01-13 10:25:52 - NOTIFICATION SENT TO LIBRARIAN: 1 | Notify Librarian:Mor | The book: The Catcher in the Rye is available now. | You can notify him by Email: doron@gmail.,com Or by Phone: gimalsadad
2025-01-13 10:25:53 - NOTIFICATION SENT TO LIBRARIAN: assad | Notify Librarian:Mor | The book: The Catcher in the Rye is available now. | You can notify him by Email: doron@gmail.,com Or by Phone: gimalsadad
2025-01-13 10:25:54 - NOTIFICATION SENT TO LIBRARIAN: fadinuj | Notify Librarian:Mor | The book: The Catcher in the Rye is available now. | You can notify him by Email: doron@gmail.,com Or by Phone: gimalsadad
2025-01-13 10:25:55 - NOTIFICATION SENT TO LIBRARIAN: nadav | Notify Librarian:Mor | The book: The Catcher in the Rye is available now. | You can notify him by Email: doron@gmail.,com Or by Phone: gimalsadad
2025-01-13 10:25:55 - NOTIFICATION SENT TO LIBRARIAN: dori | Notify Librarian:Mor | The book: The Catcher in the Rye is available now. | You can notify him by Email: doron@gmail.,com Or by Phone: gimalsadad
2025-01-13 10:25:56 - NOTIFICATION SENT TO LIBRARIAN: ddddd | Notify Librarian:Mor | The book: The Catcher in the Rye is available now. | You can notify him by Email: doron@gmail.,com Or by Phone: gimalsadad
2025-01-13 10:25:57 - NOTIFICATION SENT TO LIBRARIAN: baruh | Notify Librarian:Mor | The book: The Catcher in the Rye is available now. | You can notify him by Email: doron@gmail.,com Or by Phone: gimalsadad
2025-01-13 10:28:40 - NOTIFICATION SENT TO LIBRARIAN: fadi | Notify Librarian:sadasd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asdsa Or by Phone: asdas
2025-01-13 10:28:40 - NOTIFICATION SENT TO LIBRARIAN: 1 | Notify Librarian:sadasd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asdsa Or by Phone: asdas
2025-01-13 10:28:44 - NOTIFICATION SENT TO LIBRARIAN: assad | Notify Librarian:sadasd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asdsa Or by Phone: asdas
2025-01-13 10:28:44 - NOTIFICATION SENT TO LIBRARIAN: fadinuj | Notify Librarian:sadasd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asdsa Or by Phone: asdas
2025-01-13 10:28:44 - NOTIFICATION SENT TO LIBRARIAN: nadav | Notify Librarian:sadasd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asdsa Or by Phone: asdas
2025-01-13 10:28:44 - NOTIFICATION SENT TO LIBRARIAN: dori | Notify Librarian:sadasd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asdsa Or by Phone: asdas
2025-01-13 10:28:44 - NOTIFICATION SENT TO LIBRARIAN: ddddd | Notify Librarian:sadasd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asdsa Or by Phone: asdas
2025-01-13 10:28:44 - NOTIFICATION SENT TO LIBRARIAN: baruh | Notify Librarian:sadasd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asdsa Or by Phone: asdas
2025-01-13 11:17:50 - NOTIFICATION SENT TO LIBRARIAN: fadi | Notify Librarian:onemoretime | The book: The Catcher in the Rye is available now. | You can notify him by Email: aksdj Or by Phone: alksjd
2025-01-13 11:17:50 - NOTIFICATION SENT TO LIBRARIAN: 1 | Notify Librarian:onemoretime | The book: The Catcher in the Rye is available now. | You can notify him by Email: aksdj Or by Phone: alksjd
2025-01-13 11:17:52 - NOTIFICATION SENT TO LIBRARIAN: assad | Notify Librarian:onemoretime | The book: The Catcher in the Rye is available now. | You can notify him by Email: aksdj Or by Phone: alksjd
2025-01-13 11:17:52 - NOTIFICATION SENT TO LIBRARIAN: fadinuj | Notify Librarian:onemoretime | The book: The Catcher in the Rye is available now. | You can notify him by Email: aksdj Or by Phone: alksjd
2025-01-13 11:17:52 - NOTIFICATION SENT TO LIBRARIAN: nadav | Notify Librarian:onemoretime | The book: The Catcher in the Rye is available now. | You can notify him by Email: aksdj Or by Phone: alksjd
2025-01-13 11:17:52 - NOTIFICATION SENT TO LIBRARIAN: dori | Notify Librarian:onemoretime | The book: The Catcher in the Rye is available now. | You can notify him by Email: aksdj Or by Phone: alksjd
2025-01-13 11:17:52 - NOTIFICATION SENT TO LIBRARIAN: ddddd | Notify Librarian:onemoretime | The book: The Catcher in the Rye is available now. | You can notify him by Email: aksdj Or by Phone: alksjd
2025-01-13 11:17:52 - NOTIFICATION SENT TO LIBRARIAN: baruh | Notify Librarian:onemoretime | The book: The Catcher in the Rye is available now. | You can notify him by Email: aksdj Or by Phone: alksjd
2025-01-13 11:17:56 - NOTIFICATION SENT TO LIBRARIAN: fadi | Notify Librarian:asdasd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: sad
2025-01-13 11:17:56 - NOTIFICATION SENT TO LIBRARIAN: 1 | Notify Librarian:asdasd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: sad
