Full Name,Email,Phone No.,Book Title,Book Author,Book Genre,Book Year,Queue No.
aaa,aaa,aaa,To Kill a Mockingbird,Harper Lee,Fiction,1960,1
aaaa,aaaa,aaaa,To Kill a Mockingbird,Harper Lee,Fiction,1960,2
a,a,a,To Kill a Mockingbird,Harper Lee,Fiction,1960,3
alef,beit,zain,The Great Gatsby,F. Scott Fitzgerald,Classic,1925,1
ta,omer,kaha osim et ze babait,The Great Gatsby,F. Scott Fitzgerald,Classic,1925,2
Dor,Dor,Dor,Coming off the train,Itay Cohen,Horror,2025,1
Baruh,Baruh,Baruh,Coming off the train,Itay Cohen,Horror,2025,2
Dor Cohen,doric9@gmail.com,0542343223,A Game of Thrones,George R.R. Martin,Fantasy,1996,1
Nadav Cohen,tipesh@gmail.com,02020303021,1984,George Orwell,Dystopian,1949,1
Albert Cohen,albert@gmail.com,0432323212,1984,George Orwell,Dystopian,1949,2
dor,doric9@gmail.com,0525352725,1984,George Orwell,Dystopian,1949,3
baruh,baruhkavkazi@gmail.com,123456789,1984,George Orwell,Dystopian,1949,4
